Accordo;Nota;Prob
A4,G#4,E4,F#3;A4;1.0
D5,F#4,G3,G3;E5;0.3333333333333333
D5,F#4,G3,G3;F#5;0.3333333333333333
D5,F#4,G3,G3;D5;0.3333333333333333
C#5,F#4,A3,G#2;B4;1.0
Void,G4,B3,A3;Void;1.0
E4,D4,A3,B-2;F4;1.0
E4,C4,A3,C3;Void;1.0
G4,B-3,G3,A2;A4;1.0
Void,C4,B-3,D3;Void;1.0
E-5,F4,F4,A-3;D-5;0.5
E-5,F4,F4,A-3;E-5;0.5
F4,E4,C4,B-2;G4;1.0
F5,A4,A3,B-3;E-5;1.0
Void,F#4,A3,G2;Void;1.0
C5,G4,A3,B-3;D5;1.0
E5,F#4,B3,G#3;D5;1.0
C#5,F#4,E4,A2;D5;1.0
Void,E4,A3,G2;Void;1.0
D5,E4,D4,F#3;E5;1.0
C5,F#4,B3,E2;B4;1.0
C#5,E4,C#4,E3;B4;0.4
C#5,E4,C#4,E3;C#5;0.2
C#5,E4,C#4,E3;A4;0.2
C#5,E4,C#4,E3;D5;0.2
C5,B-4,D4,D3;B-4;1.0
E5,G#4,A3,D3;D5;1.0
G4,A4,E4,B2;Rest;0.5
G4,A4,E4,B2;A4;0.5
F#4,A3,G3,D3;E4;1.0
D5,G4,C4,G2;C5;0.3333333333333333
D5,G4,C4,G2;D5;0.6666666666666666
D#5,C#4,F#4,B#3;Rest;1.0
F4,E4,G#3,A2;E4;1.0
B-4,F4,D4,B-2;C5;0.1
B-4,F4,D4,B-2;A4;0.4
B-4,F4,D4,B-2;B-4;0.3
A4,G4,G3,F3;G4;1.0
F5,G4,C4,E-3;B4;1.0
Void,F#4,Rest,B2;Void;1.0
F#4,F#4,E4,C#3;C#4;1.0
G4,G4,D4,F3;A4;0.5
G4,G4,D4,F3;G4;0.5
F4,G4,A3,D3;B-4;0.5
F4,G4,A3,D3;E4;0.5
B-4,F4,B-3,G3;C5;0.16666666666666666
B-4,F4,B-3,G3;Void;0.3333333333333333
B-4,F4,B-3,G3;A4;0.5
E4,E4,D4,D3;F#4;0.25
E4,E4,D4,D3;E4;0.25
E4,E4,D4,D3;F4;0.25
E4,E4,D4,D3;D4;0.25
G4,E4,C4,F3;A4;0.5
G4,E4,C4,F3;G4;0.25
G4,E4,C4,F3;F4;0.25
G4,Void,D4,Void;Void;1.0
C#5,C#4,G#3,C#3;F#4;1.0
B-4,F4,E-4,B-2;C5;0.5
B-4,F4,E-4,B-2;B-4;0.5
B4,A4,A3,B2;A4;1.0
E4,D4,D4,G3;Void;1.0
E4,F#4,D4,G3;D#4;1.0
D5,F4,G4,F3;C5;0.5
D5,F4,G4,F3;D5;0.5
A4,B3,A3,E3;G4;1.0
C#5,D4,E4,D3;B4;1.0
D5,F4,C4,D3;C5;0.16666666666666666
D5,F4,C4,D3;D5;0.5
D5,F4,C4,D3;E5;0.3333333333333333
B-4,E-4,F3,E-3;A4;1.0
B4,A#4,A3,D3;E4;1.0
A4,A3,E3,C2;G4;1.0
A4,C#4,G#3,A3;Void;1.0
F4,E4,B3,A3;E4;1.0
B4,A4,E4,G#3;B4;0.3333333333333333
B4,A4,E4,G#3;C#5;0.3333333333333333
B4,A4,E4,G#3;A4;0.3333333333333333
F4,F4,B-3,D4;C5;1.0
Void,B4,C4,C3;Void;1.0
E5,C#5,Rest,B3;D5;1.0
B-4,F4,G3,G3;A4;1.0
A#4,F#4,B3,G3;B4;1.0
D#5,G#4,E4,B3;E5;1.0
F#4,C#4,G#3,A3;E#4;1.0
C5,E-4,B-3,B-3;D5;0.3333333333333333
C5,E-4,B-3,B-3;B-4;0.3333333333333333
C5,E-4,B-3,B-3;C5;0.3333333333333333
E5,C#5,F#4,B2;D5;1.0
B4,A4,C#4,B2;B4;1.0
B-4,C4,A3,G3;C5;1.0
G4,E4,F#4,B2;A4;1.0
C5,E-4,A3,F2;B-4;1.0
D5,E4,F4,C3;C#5;1.0
B4,G4,D4,D4;Rest;0.5
B4,G4,D4,D4;B4;0.5
C5,F4,A3,A3;B4;1.0
A4,D4,F#3,C#3;B4;0.5
A4,D4,F#3,C#3;A4;0.5
G4,E4,G3,E3;A4;0.4
G4,E4,G3,E3;F#4;0.4
G4,E4,G3,E3;F4;0.2
A4,E4,C4,E-3;B-4;1.0
C#5,D4,G3,G3;B4;1.0
Void,F#4,E4,C3;Void;1.0
B4,B3,A3,F#3;A4;1.0
A4,G#4,E4,Rest;B4;1.0
G4,Rest,C4,F3;F4;1.0
E5,F#4,D4,B3;D5;1.0
A4,G4,D4,D2;G4;1.0
B4,E4,C#3,A2;C#5;1.0
Rest,D4,F4,G3;D5;1.0
B4,F#4,F#4,F#2;G4;1.0
Void,A4,Void,A2;Void;1.0
D5,B-3,C4,D3;D5;1.0
D5,C4,G3,E3;A4;1.0
F4,D4,B-3,B-3;B-4;1.0
G4,C4,D4,C4;A4;1.0
D5,Rest,Rest,G2;D5;1.0
F4,G4,C4,B-2;A3;1.0
B4,G4,Rest,D3;B4;1.0
Void,G4,E4,E2;Void;1.0
D#5,G#4,B3,B2;E5;1.0
F4,B-4,E-4,E-3;E-4;1.0
C#5,F#4,E4,C#3;D5;0.6666666666666666
C#5,F#4,E4,C#3;B4;0.3333333333333333
A4,E4,F#4,A2;G4;0.5
A4,E4,F#4,A2;B4;0.5
C5,E-4,B3,A-3;G4;1.0
A4,F#4,A3,A3;A4;0.6666666666666666
A4,F#4,A3,A3;B4;0.3333333333333333
C#5,G#4,C#4,F#3;D5;0.3333333333333333
C#5,G#4,C#4,F#3;B4;0.6666666666666666
E5,A4,G#3,D3;E5;1.0
B4,E4,B3,D2;A4;1.0
Void,E-4,Void,A2;Void;1.0
E5,A4,B3,B3;F#5;1.0
D5,D#4,C4,A3;B4;1.0
C4,D4,G3,F3;G4;1.0
Void,D#4,G#3,B3;Void;1.0
A4,Rest,B3,D3;B4;1.0
G#4,F#4,G#3,B#2;E4;1.0
F#4,F#4,B3,C#3;F#4;1.0
C5,B-4,F4,G3;B-4;1.0
G4,E-4,A3,C3;F#4;0.5
G4,E-4,A3,C3;B-4;0.25
G4,E-4,A3,C3;F4;0.25
C5,F4,D4,F3;B-4;0.3333333333333333
C5,F4,D4,F3;D5;0.3333333333333333
C5,F4,D4,F3;B4;0.16666666666666666
C5,F4,D4,F3;C5;0.16666666666666666
Void,A-4,C4,G2;Void;1.0
G4,F#4,C4,G3;E4;0.25
G4,F#4,C4,G3;Void;0.25
G4,F#4,C4,G3;F#4;0.25
G4,F#4,C4,G3;B4;0.25
G4,C#4,G3,A3;F4;0.5
G4,C#4,G3,A3;A4;0.5
D5,G4,B3,E3;E5;0.42857142857142855
D5,G4,B3,E3;C5;0.2857142857142857
D5,G4,B3,E3;B4;0.14285714285714285
D5,G4,B3,E3;D5;0.14285714285714285
C#5,D#4,B3,G3;D5;1.0
G4,C#4,E4,D3;A4;1.0
F4,F4,D4,F2;E4;0.5
F4,F4,D4,F2;C5;0.5
G4,F4,B3,E3;C5;1.0
A4,A3,B-3,D3;D5;1.0
G4,C4,E3,D3;Void;1.0
A4,D#4,A3,B3;B4;1.0
B4,F#4,G3,A3;A4;1.0
G#4,A4,C#4,C#3;A4;1.0
G4,E4,C4,C#3;A4;1.0
A4,A4,F4,C3;D5;1.0
G#4,F4,C4,E3;E5;1.0
E5,G#4,C#4,E3;D5;1.0
F4,A4,A3,D3;E4;1.0
C5,E4,B-3,G2;D5;1.0
A4,E4,A3,E3;A4;0.06666666666666667
A4,E4,A3,E3;G4;0.2
A4,E4,A3,E3;B4;0.4
A4,E4,A3,E3;B-4;0.06666666666666667
A4,E4,A3,E3;F4;0.13333333333333333
A4,E4,A3,E3;D5;0.13333333333333333
D4,A3,A3,A3;A4;1.0
F4,Rest,A3,A2;G4;1.0
F#4,D4,F3,A2;G4;1.0
D5,A4,A3,G#3;C#5;1.0
A4,A4,C4,A2;G4;1.0
Void,Void,D4,B2;Void;1.0
E5,G4,D4,C4;D5;1.0
E5,A#4,F#4,B3;F#5;1.0
E5,B3,G#3,F3;D5;1.0
C5,F4,Rest,Rest;C5;1.0
C#5,A4,E4,C#3;B4;1.0
Void,D4,E-4,D3;Void;1.0
C5,F4,F4,B-3;B-4;1.0
A4,D4,G3,E-3;G4;0.5
A4,D4,G3,E-3;D5;0.5
A4,D#4,E3,C#3;A4;1.0
C5,B-4,F4,E-3;B-4;0.5
C5,B-4,F4,E-3;D5;0.5
B-4,E-4,B-3,E-3;C5;0.5
B-4,E-4,B-3,E-3;G4;0.25
B-4,E-4,B-3,E-3;B-4;0.25
Void,B3,D4,D3;Void;1.0
A4,D#4,E4,B3;A4;1.0
E4,A4,E4,F3;Void;1.0
E4,F4,B-3,D3;F#4;0.3333333333333333
E4,F4,B-3,D3;E4;0.3333333333333333
E4,F4,B-3,D3;A4;0.3333333333333333
Void,G4,Void,E-3;Void;1.0
E-5,Rest,E-4,Rest;D5;1.0
A4,D#4,A3,B2;C5;1.0
F4,C4,D4,E-3;E-4;1.0
B4,A4,B3,D3;A4;0.6
B4,A4,B3,D3;C#5;0.4
B4,F#4,Void,E3;A4;1.0
Void,D#4,G3,E3;Void;1.0
C5,F4,F3,E-3;B-4;0.5
C5,F4,F3,E-3;D5;0.5
D5,E-4,D-4,G3;E-5;1.0
A4,F#4,B3,G2;G4;0.5
A4,F#4,B3,G2;B4;0.5
Void,G#4,D#4,F##3;Void;1.0
E5,Rest,Rest,C3;C5;1.0
F4,G4,B3,E3;E4;1.0
C5,G4,E4,G#3;B4;1.0
A4,D4,E3,E3;G4;1.0
D5,Rest,E4,B2;C#5;1.0
A4,A3,A3,A3;A4;1.0
B4,F#4,A3,D3;A4;0.4444444444444444
B4,F#4,A3,D3;B4;0.2222222222222222
B4,F#4,A3,D3;C5;0.2222222222222222
B4,F#4,A3,D3;G4;0.1111111111111111
A#4,F#4,D4,F#3;D5;0.5
A#4,F#4,D4,F#3;B4;0.5
D5,B-3,E3,B-2;A4;1.0
Void,Void,F#3,E3;Void;1.0
G#4,G4,B3,G3;A4;1.0
E4,F4,E3,F3;D4;1.0
C5,E4,B3,B2;D5;0.5
C5,E4,B3,B2;C5;0.5
B4,C#4,A3,G#3;A4;1.0
B-4,D4,C4,A3;G4;1.0
Void,F4,B-3,G3;Void;1.0
E-5,A-4,C4,A-2;D5;1.0
Void,G3,A3,B-2;Void;1.0
D5,B-4,E-4,A3;E5;1.0
B4,F4,A3,F3;C5;1.0
D5,A4,B3,C3;E5;0.6666666666666666
D5,A4,B3,C3;C5;0.3333333333333333
E4,D#4,F#3,E3;Void;1.0
A4,E4,D4,C2;B4;1.0
E5,B4,D4,B3;F#5;1.0
G4,D4,E-4,D3;Void;0.5
G4,D4,E-4,D3;F4;0.5
B4,B3,F#3,D3;A4;1.0
G4,D4,F#3,D3;A4;0.3
G4,D4,F#3,D3;F#4;0.2
G4,D4,F#3,D3;G4;0.2
G4,D4,F#3,D3;Void;0.1
G4,D4,F#3,D3;D5;0.2
D5,F4,E4,G3;C5;1.0
B4,A#4,E4,C#3;C#5;1.0
Void,A4,A3,C#3;Void;1.0
E4,F4,B-3,G2;D4;1.0
D5,G4,E4,E-3;B-4;1.0
Void,B3,B3,D3;Void;1.0
F4,F4,E4,B-2;Void;1.0
Void,B3,A3,C2;Void;1.0
Void,E4,Void,E3;Void;1.0
D5,D4,G4,D3;C5;1.0
D5,A4,D4,C3;C5;0.6666666666666666
D5,A4,D4,C3;E-5;0.3333333333333333
E4,C4,G3,D3;C4;0.5
E4,C4,G3,D3;D4;0.5
Void,A#4,B3,F#3;Void;1.0
A-4,C4,G3,B-2;B-4;1.0
B-4,C4,G3,E3;A4;1.0
D5,C#5,B3,G#3;C#5;1.0
C5,E-4,G3,D3;G4;0.5
C5,E-4,G3,D3;D5;0.5
F4,G3,G3,G2;G4;1.0
B4,B4,E4,B3;C#5;0.3333333333333333
B4,B4,E4,B3;C5;0.3333333333333333
B4,B4,E4,B3;A4;0.3333333333333333
D5,F#4,C#4,B2;C#5;0.75
D5,F#4,C#4,B2;E5;0.25
G4,E4,B3,G3;G4;0.4
G4,E4,B3,G3;A4;0.4
G4,E4,B3,G3;B4;0.2
F#4,D#4,B3,A3;B4;1.0
D5,F4,C4,G3;C5;0.4
D5,F4,C4,G3;E-5;0.2
D5,F4,C4,G3;C#5;0.2
D5,F4,C4,G3;D5;0.2
Void,F4,B-3,E3;Void;1.0
Void,Rest,Rest,D3;Void;1.0
E-5,A-4,D-4,D-3;D-5;1.0
C#5,D4,G#3,C#3;B4;1.0
B4,A4,A3,F3;C5;1.0
Void,Void,G#3,C#3;Void;1.0
B4,E4,C#4,G3;A4;1.0
D5,B4,D4,C#3;C#5;1.0
D5,F#4,F#4,D3;E5;1.0
D5,G4,C4,Rest;C5;1.0
E-5,D4,F3,F3;F5;1.0
D5,A4,D4,D4;C#5;0.5
D5,A4,D4,D4;A5;0.5
D5,D4,F#3,F#3;D5;1.0
C5,G4,E4,B-3;B-4;1.0
C5,G4,D4,F3;D5;0.8333333333333334
C5,G4,D4,F3;B4;0.16666666666666666
B4,F#4,E4,C#3;C#5;0.5
B4,F#4,E4,C#3;G4;0.25
B4,F#4,E4,C#3;B4;0.25
C5,C4,E4,C4;D5;1.0
A4,E-4,G3,E-3;G4;1.0
C5,G4,F4,B2;C5;0.3333333333333333
C5,G4,F4,B2;B4;0.3333333333333333
C5,G4,F4,B2;B-4;0.3333333333333333
B-4,Rest,D4,F3;A4;1.0
Void,D4,B3,C3;Void;1.0
Void,D4,E-3,E-3;Void;1.0
B4,G#4,D4,E#3;A#4;0.5
B4,G#4,D4,E#3;A4;0.5
C4,B3,G3,F3;F4;1.0
A4,E-4,A3,A2;B-4;1.0
G4,E4,C4,B3;F#4;0.5
G4,E4,C4,B3;E4;0.5
B4,G4,G#3,Rest;Rest;1.0
F#4,D#4,A3,D3;E4;0.5
F#4,D#4,A3,D3;G4;0.5
F4,E-4,C4,E-3;G4;1.0
G4,C4,D4,F2;F4;1.0
B-4,D4,A3,F3;C5;0.3333333333333333
B-4,D4,A3,F3;Void;0.3333333333333333
B-4,D4,A3,F3;A4;0.3333333333333333
F#4,E4,E4,A2;E4;0.5
F#4,E4,E4,A2;D5;0.5
Void,G#4,D4,A3;Void;1.0
A4,E4,C4,A2;A4;0.3157894736842105
A4,E4,C4,A2;B4;0.10526315789473684
A4,E4,C4,A2;C5;0.10526315789473684
A4,E4,C4,A2;F4;0.10526315789473684
A4,E4,C4,A2;G4;0.21052631578947367
A4,E4,C4,A2;E4;0.10526315789473684
A4,E4,C4,A2;G#4;0.05263157894736842
E4,C4,A3,E-3;F#4;1.0
A4,A3,G3,A3;A4;1.0
B4,G#4,F#4,D4;A4;1.0
C5,C4,C4,F3;B-4;0.5
C5,C4,C4,F3;A4;0.5
F#4,E4,C4,D3;E4;1.0
F#4,D4,G3,G2;B4;1.0
Void,G4,C4,E3;Void;1.0
F#4,E4,B3,F#3;B4;0.25
F#4,E4,B3,F#3;G4;0.75
Rest,B3,B3,E3;A4;1.0
A4,C#4,E4,D3;G4;1.0
E4,D#4,F#3,A3;F#4;1.0
B4,E4,A#3,F#3;D5;1.0
F4,A3,F3,C3;E4;1.0
G4,D4,B3,G3;D5;0.14814814814814814
G4,D4,B3,G3;G4;0.48148148148148145
G4,D4,B3,G3;B4;0.037037037037037035
G4,D4,B3,G3;A4;0.25925925925925924
F5,E4,C4,D-3;E-5;1.0
D5,G4,A3,D3;E-5;0.25
D5,G4,A3,D3;C5;0.5
D5,G4,A3,D3;E5;0.25
E5,G4,C#4,B2;D5;1.0
B4,A4,G3,D3;C5;1.0
B4,B4,F#3,D3;A4;1.0
Void,E-4,B-3,Void;Void;1.0
D5,A4,A3,B2;C5;1.0
B4,D4,A3,A2;A4;0.75
B4,D4,A3,A2;B4;0.25
Void,D4,B3,B3;Void;1.0
A4,D4,C4,F#3;B4;0.25
A4,D4,C4,F#3;G4;0.25
A4,D4,C4,F#3;A4;0.5
Void,A3,Void,D3;Void;1.0
Void,Void,C4,F2;Void;1.0
Void,G#4,C#4,D3;Void;1.0
A4,F4,B-3,G3;B-4;1.0
A4,F#4,A3,G3;G4;0.6666666666666666
A4,F#4,A3,G3;B4;0.3333333333333333
A4,A4,Rest,A2;G4;1.0
G4,D4,A3,D3;F4;0.18181818181818182
G4,D4,A3,D3;F#4;0.36363636363636365
G4,D4,A3,D3;A4;0.2727272727272727
G4,D4,A3,D3;E4;0.09090909090909091
G4,D4,A3,D3;C5;0.09090909090909091
Void,Rest,F3,B2;Void;1.0
Void,F#4,A3,E3;Void;1.0
F#4,E4,A3,C#3;E4;0.5
F#4,E4,A3,C#3;G4;0.25
F#4,E4,A3,C#3;F#4;0.25
G4,D4,A3,A2;F#4;0.3333333333333333
G4,D4,A3,A2;A4;0.2222222222222222
G4,D4,A3,A2;F4;0.1111111111111111
G4,D4,A3,A2;D4;0.2222222222222222
G4,D4,A3,A2;B4;0.1111111111111111
C#5,G#4,D4,E3;D5;0.5
C#5,G#4,D4,E3;G#4;0.5
B-4,A-4,E-4,G3;B-4;1.0
Void,F#4,D4,G#3;Void;1.0
A4,A4,G#3,A2;B4;1.0
C#5,E4,B3,F#2;B4;1.0
Void,B3,D4,F3;Void;1.0
Void,A4,B-3,F3;Void;1.0
D5,F4,F4,B-2;C5;0.6666666666666666
D5,F4,F4,B-2;D5;0.3333333333333333
B4,E4,G3,G2;A4;1.0
B4,D4,A#3,B3;A4;1.0
G4,A3,E4,A2;F#4;1.0
G4,F4,B3,F3;A4;0.5
G4,F4,B3,F3;G4;0.5
F#5,D4,A3,F#3;F#5;0.5
F#5,D4,A3,F#3;E5;0.5
F4,F4,E-4,A-3;F4;1.0
C#5,F#4,A3,A3;B4;0.3333333333333333
C#5,F#4,A3,A3;C#5;0.3333333333333333
C#5,F#4,A3,A3;D5;0.16666666666666666
C#5,F#4,A3,A3;F#4;0.16666666666666666
B4,E4,A3,D3;A#4;0.125
B4,E4,A3,D3;A4;0.25
B4,E4,A3,D3;C5;0.25
B4,E4,A3,D3;B4;0.25
B4,E4,A3,D3;D5;0.125
C5,F4,F#3,E3;B4;1.0
Void,Rest,E-4,A2;Void;1.0
A4,F4,F4,D4;B4;1.0
Void,A4,A3,C#4;Void;1.0
F#4,G#4,B3,E3;E4;1.0
E4,F#4,A3,D3;A4;1.0
F4,E4,B-3,B-2;G4;1.0
D4,E4,C#4,F#3;Void;1.0
C5,E4,F4,F3;G4;1.0
C5,G4,C4,C3;E5;0.08333333333333333
C5,G4,C4,C3;D5;0.3333333333333333
C5,G4,C4,C3;B4;0.3333333333333333
C5,G4,C4,C3;C5;0.16666666666666666
C5,G4,C4,C3;B-4;0.08333333333333333
D5,F4,B-3,D4;D5;1.0
B4,E4,G3,F3;C5;0.5
B4,E4,G3,F3;B4;0.5
B4,D4,C4,A2;A4;1.0
F#4,A3,F#3,D3;E4;1.0
B-4,E-4,F3,B-2;A4;1.0
C5,E-4,G3,E-3;B-4;1.0
A4,E4,Rest,F#3;B4;1.0
D5,B4,F4,E3;E5;1.0
A4,F#4,C#4,A2;B4;1.0
G4,E4,C4,Rest;F4;1.0
B4,A4,E4,A2;C#5;0.14285714285714285
B4,A4,E4,A2;A4;0.7142857142857143
B4,A4,E4,A2;C5;0.14285714285714285
Void,Void,G#3,C3;Void;1.0
Void,Void,D4,G2;Void;1.0
Void,C#4,A3,E3;Void;1.0
Rest,F#4,B3,C3;B4;1.0
Void,G3,F3,E3;Void;1.0
B4,F#4,E4,F#2;C#5;1.0
Void,E-4,G3,B-2;Void;1.0
E4,E4,C#4,D3;A4;1.0
G4,A-4,B-3,F3;F4;1.0
F#4,E4,D4,B2;E4;0.5
F#4,E4,D4,B2;G#4;0.5
Void,D4,G3,A2;Void;1.0
F#4,F#4,D4,G#3;G4;1.0
F#5,E4,B3,A3;E5;1.0
D5,A-4,B-3,A-3;E-5;1.0
G4,F4,A3,E3;F4;1.0
Void,Void,B3,Void;Void;1.0
Void,A3,Void,G2;Void;1.0
D5,F#4,A#3,D3;E5;1.0
A4,G4,E-4,A3;G4;1.0
A4,E4,C#4,C#3;B4;0.5
A4,E4,C#4,C#3;G#4;0.3333333333333333
A4,E4,C#4,C#3;A4;0.16666666666666666
C5,E-4,A-3,A-3;B-4;1.0
Void,F4,C4,D3;Void;1.0
Void,G3,E3,C3;Void;1.0
C5,E4,C4,F3;B4;1.0
Void,C#4,F3,A2;Void;1.0
C5,D4,G3,E-3;D5;0.3333333333333333
C5,D4,G3,E-3;B-4;0.6666666666666666
G#4,A3,B3,D3;A4;1.0
C#5,F#4,D4,D#3;D5;1.0
C5,C4,G3,F3;D5;1.0
C5,F#4,C4,A3;C5;0.5
C5,F#4,C4,A3;D5;0.5
C4,D4,F4,G2;E4;1.0
B4,C4,D4,D3;A4;1.0
D5,F4,C4,C3;D5;0.2
D5,F4,C4,C3;E5;0.4
D5,F4,C4,C3;C5;0.4
G4,D#4,E4,G2;F#4;1.0
A4,B4,C4,F#3;D5;1.0
F#5,D5,D4,C#4;E5;1.0
C5,D4,C4,C3;D5;0.5
C5,D4,C4,C3;B-4;0.5
A4,C#4,E3,G3;G4;1.0
D5,B-4,C#4,F3;D5;1.0
E-5,G4,A3,G3;F5;1.0
C5,A4,F4,D3;B-4;0.3333333333333333
C5,A4,F4,D3;D5;0.3333333333333333
C5,A4,F4,D3;B4;0.16666666666666666
C5,A4,F4,D3;C5;0.16666666666666666
A4,G4,C4,E3;B4;0.1111111111111111
A4,G4,C4,E3;A4;0.3333333333333333
A4,G4,C4,E3;C5;0.1111111111111111
A4,G4,C4,E3;F4;0.1111111111111111
A4,G4,C4,E3;G4;0.3333333333333333
E4,D#4,C4,E3;F#4;1.0
Void,D4,F3,D3;Void;1.0
A4,F#4,D4,A3;B4;0.2
A4,F#4,D4,A3;G4;0.4
A4,F#4,D4,A3;A4;0.2
A4,F#4,D4,A3;C5;0.2
B4,E4,D4,G#3;C#5;0.5
B4,E4,D4,G#3;B4;0.5
B-4,F#4,D4,C#3;A4;1.0
E4,E4,B3,E3;D4;0.5
E4,E4,B3,E3;A4;0.25
E4,E4,B3,E3;B4;0.25
B-4,A4,D4,F#3;C5;0.5
B-4,A4,D4,F#3;A4;0.5
D5,E#4,B3,A3;C#5;1.0
Void,D4,E-4,C3;Void;1.0
E-5,F4,B-3,E-3;D5;1.0
Void,F#4,D4,D2;Void;1.0
